Order ID,Order Date,Region,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit
ORD-10000,2023-01-01,North,Furniture,Bookcases,2,368.68,0.0,737.36,96.74438094332699
ORD-10001,2023-01-01,South,Furniture,Chairs,5,86.44,0.0,432.2,118.09226604078538
ORD-10002,2023-01-01,North,Technology,Machines,1,304.55,0.05,289.3225,30.12336147017946
ORD-10003,2023-01-01,North,Furniture,Tables,2,485.26,0.1,873.468,124.4410836651865
ORD-10004,2023-01-01,North,Technology,Accessories,5,99.09,0.0,495.45000000000005,79.6923638548606
ORD-10005,2023-01-01,West,Furniture,Furnishings,5,267.13,0.0,1335.65,211.36104022110294
ORD-10006,2023-01-01,East,Furniture,Tables,4,309.81,0.0,1239.24,196.33146685015677
ORD-10007,2023-01-01,East,Office Supplies,Binders,2,189.52,0.0,379.04,97.42661928128157
ORD-10008,2023-01-01,East,Furniture,Chairs,4,107.84,0.0,431.36,94.24478968486612
ORD-10009,2023-01-01,North,Office Supplies,Storage,5,32.76,0.05,155.60999999999999,20.868051777395884
ORD-10010,2023-01-01,East,Furniture,Furnishings,5,41.88,0.15,177.99,52.17356911338816
ORD-10011,2023-01-02,North,Office Supplies,Paper,5,57.86,0.05,274.835,51.67736212338466
ORD-10012,2023-01-02,East,Technology,Copiers,5,69.8,0.0,349.0,37.30031877384224
ORD-10013,2023-01-02,South,Technology,Phones,1,455.57,0.0,455.57,105.92205541662871
ORD-10014,2023-01-02,South,Office Supplies,Paper,2,162.74,0.0,325.48,68.13665234413014
ORD-10015,2023-01-02,North,Office Supplies,Storage,4,100.58,0.15,341.972,87.2119443740894
ORD-10016,2023-01-02,East,Furniture,Bookcases,3,470.35,0.1,1269.9450000000002,278.85451771824876
ORD-10017,2023-01-02,South,Technology,Copiers,1,461.72,0.0,461.72,64.26984144723356
ORD-10018,2023-01-02,South,Technology,Accessories,2,32.16,0.0,64.32,11.431944654565497
ORD-10019,2023-01-02,West,Office Supplies,Storage,5,142.96,0.1,643.32,110.23331002570397
ORD-10020,2023-01-02,South,Technology,Copiers,1,147.66,0.0,147.66,18.92777421195469
ORD-10021,2023-01-02,South,Furniture,Bookcases,4,403.08,0.0,1612.32,479.4675091239491
ORD-10022,2023-01-02,East,Furniture,Tables,5,388.4,0.0,1942.0,196.34479029080717
ORD-10023,2023-01-02,East,Furniture,Furnishings,4,409.58,0.05,1556.4039999999998,382.5663344735329
ORD-10024,2023-01-02,West,Furniture,Bookcases,2,387.92,0.0,775.84,133.2064101667577
